expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
ko,ko-dai ... ko kuma ...,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,,,neither,
ko,ko-dai ... ko kuma ...,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,,,neither,
ko,ko-dai ... ko kuma ...,disj-spk,0,0,,1,0,1,0,0,1,"hausa-con-evid9, hausa-con-evid11",neither,
ko,ko-dai ... ko kuma ...,disj-nspk-epi,0,0,1,0,0,0,0,0,,,neither,
ko,ko-dai ... ko kuma ...,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,hausa-con-evid47,neither,
ko,ko-dai ... ko kuma ...,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,hausa-con-evid51,neither,
ko,ko-dai ... ko kuma ...,disj-nspk-q-exc,0,0,1,1,0,0,1,0,?,hausa-con-evid62,neither,
ko,ko-dai ... ko kuma ...,disj-nspk-q-inc,?,0,,1,0,0,1,0,,,neither,
ko,ko-dai ... ko kuma ...,neither-sta,0,1,,1,0,0,0,0,0,hausa-con-evid55,neither,
ko,ko-dai ... ko kuma ...,neither-epi,0,1,,0,1,0,0,0,,,neither,
ko,ko-dai ... ko kuma ...,fc,0,0,,0,0,0,0,1,1,hausa-con-evid70,neither,
ko,ko-dai ... ko kuma ...,negative,0,1,,1,,0,0,0,,,neither,
juxtaposition,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"hausa-con-1b, ",neither,conflicting judgment
juxtaposition,juxtaposition,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,hausa-con-2b ,neither,
juxtaposition,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,0,hausa-con-evid30,neither,
juxtaposition,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,,,neither,
juxtaposition,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,hausa-con-evid35,neither,
juxtaposition,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,0,hausa-con-evid36,neither,
